file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00209_0116_455401_to_458984,མགོན་པོ་ཁྱེད་ཀྱིས་འཇིག་རྟེན་སྐྱེ་འགྲོ་ཡོངས་ཀྱི་ཕན་བདེའི་ལེགས་ཚོགས་ལ་དགོངས་ནས་ ,mgon po khyed kyis 'jig rten skye 'gro yongs kyi phan bde'i legs tshogs la dgongs nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00209_0116_455401_to_458984.wav,STT_AB,3,78,3.583,wav16k/STT_AB00209_0116_455401_to_458984.wav,མགོན་པོ་ཁྱོད་ཀྱིས་འཇིག་རྟེན་སྐྱེ་འགྲོ་ཡོངས་ཀྱི་ཕན་བདེའི་ལེགས་ཚོགས་ལ་དགོངས་ནས།
STT_NS_M0298_0311_3337344_to_3341825,འདི་ད་རེད། འདི་ད་འདི་འདི་འདི་བྱེད་ཀི་རེད་ལབ་ནས་ཡོད་བ། སྔོན་ནས་ཧ་གོ་ཡི་འདུག་བ་ཡང་ཨོ་དེས་ཡོད་བ།  ,'di da red/_'di da 'di 'di 'di byed ki red lab nas yod ba/_sngon nas ha go yi 'dug ba yang o des yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0311_3337344_to_3341825.wav,STT_NS,3,95,4.481,wav16k/STT_NS_M0298_0311_3337344_to_3341825.wav,འདི་ད་རེད། འདི་ད་འདི་འདི་འདི་བྱེད་ཀི་རེད་ལབ་ནས་ཡོད་བ། སྔོན་ནས་ཧ་གོ་ཡི་འདུག་བ་ཡང་། ཨོ་འདི་ཡས་ཡོད་བ།
STT_NS_M0298_0308_3311012_to_3314030,ཁོར་འདིའི་སྒང་ལ་འདི་བྷི་ལིན་གཅིག་ཡོད་མ་རེད་བེ། ཨོ་ཁོ་འདི་རེད།  ,khor 'di'i sgang la 'di b+hi lin gcig yod ma red be/_o kho 'di red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0308_3311012_to_3314030.wav,STT_NS,3,63,3.018,wav16k/STT_NS_M0298_0308_3311012_to_3314030.wav,ཁོ་འདིའི་སྒང་ལ་འདི་མི་ལེན་གཅིག་ཡོད་མ་རེད། ཁོ་འདི་རེད།
STT_NS_M0298_0301_3110947_to_3113385,བུ་གུ་བདག་པོ་མ་བརྒྱབ། ཨ་ནས་ནང་བསྡད་ས་མ་རག་ཡ་འདྲ་བོ་ཅིག་ཡོད་བ།  ,bu gu bdag po ma brgyab/_a nas nang bsdad sa ma rag ya 'dra bo cig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0301_3110947_to_3113385.wav,STT_NS,3,63,2.438,wav16k/STT_NS_M0298_0301_3110947_to_3113385.wav,བུ་གུ་ཡུད་བདག་པོ་མ་བརྒྱག ཨ་ནས་ནང་བསྡད་ས་མ་རག་ཡ་འདྲ་བོ་ཅིག་ཡོད་བ།
STT_NS_M0299_0004_22728_to_25665,ཀློག་ཡིན་ཡོད་བ་ད་གུང་སེང་མང་གྲས་སོ་སོ་སོ་སོར་དུས་ཚོད་སྟོང་པ་རག་གི་འདུག་བ་ཡོད་བ།  ,klog yin yod ba da gung seng mang gras so so so sor dus tshod stong pa rag gi 'dug ba yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0004_22728_to_25665.wav,STT_NS,3,81,2.937,wav16k/STT_NS_M0299_0004_22728_to_25665.wav,ཀློག་ཡིན་ཡོད་བ་ ད་གུང་སེང་མང་དྲགས་སོ་སོ་སོ་སོ་དུས་ཚོད་སྟོང་པ་རག་གི་འདུག་བ་ཡོད་བ།
STT_NS_M0299_0019_117687_to_120531,ཕལ་བ་མ་ཡིན་པའི་ད་སྐོར་ལ་ཨེ་འདྲའི་འདྲ་བོ་ལབ་འདུག་རཱ།  ,phal ba ma yin pa'i da skor la e 'dra'i 'dra bo lab 'dug rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0019_117687_to_120531.wav,STT_NS,3,53,2.844,wav16k/STT_NS_M0299_0019_117687_to_120531.wav,ཕལ་བ་མ་ཡིན་པའི་གི་ད་སྐོར་ལ་ཨེ་འདྲའི་འདྲ་བོ་ལབ་འདུག་རཱ།
STT_NS_M0299_0022_147675_to_150554,གཡུ་དེ་གི་ཁྱིམ་ཚང་དེ་ཡི་ད་མི་རབས་རིམ་བྱུང་གི་ཨེ་ནས།  ,g.yu de gi khyim tshang de yi da mi rabs rim byung gi e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0022_147675_to_150554.wav,STT_NS,3,53,2.879,wav16k/STT_NS_M0299_0022_147675_to_150554.wav,གཡུ་དི་གི་ཁྱིམ་ཚང་འདི་གི་ད་མི་རབས་རིམ་བྱུང་གི་ཨེ་ནས།
STT_NS_M0299_0026_212977_to_216390,སྡུག་བསྔལ་ལ་ད་ང་ཚོ་སོ་སོ་སྒོམ་ཐུབ་པ་ཨ་ནས་བཟོད་སྒོམ་བྱེད་ཐུབ་པ་འདྲ་བོ་གཅིག་དང་།  ,sdug bsngal la da nga tsho so so sgom thub pa a nas bzod sgom byed thub pa 'dra bo gcig dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0299_0026_212977_to_216390.wav,STT_NS,3,80,3.413,wav16k/STT_NS_M0299_0026_212977_to_216390.wav,སྡུག་བསྔལ་ལ་ད་ང་སོ་སོ་སོ་སོ་སྒོམ་ཐུབ་པ། ཨ་ནས་བཟོད་སྒོམ་བྱེད་ཐུབ་པ་འདྲ་བོ་ཅིག་དང་།
STT_NS_M0298_0305_3213055_to_3216353,སློབ་ཡོན་ཡོད་བ་འདང་གི་མི་འདུག་འདྲ་བོ་ལབ་ཀི་རེད་ད་ཡོད་བ། ཨ་ནས་ག་རེ་བྱས་རེད་ལབ་ན་ལམ་ཁ་དཀྱིལ་མ་དེ་ལ།  ,slob yon yod ba 'dang gi mi 'dug 'dra bo lab ki red da yod ba/_a nas ga re byas red lab na lam kha dkyil ma de la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0305_3213055_to_3216353.wav,STT_NS,3,99,3.298,wav16k/STT_NS_M0298_0305_3213055_to_3216353.wav,སློབ་ཡོན་ཡོད་བ་འདང་གི་མི་འདུག་འདྲ་བོ་ལབ་ཀྱི་རེད་ད་རཱ་ཡང་། ཨེ་འདྲའི་ག་ེ་བྱས་རེད་ལབ་ན་ལང་པ་དཀྱིལ་མ་དེ་ལ།
STT_NS_M0298_0312_3360819_to_3363547,ག་རེ་ལབ་ན་གཞན་པ་ད་ང་བོད་པ་ཀ་ཅི་གཅིག་ཡེ་ལྟ་གི་མེད་ད་ཡོད་བ་ཨོ་འདིས།  ,ga re lab na gzhan pa da nga bod pa ka ci gcig ye lta gi med da yod ba o 'dis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0298_0312_3360819_to_3363547.wav,STT_NS,3,67,2.728,wav16k/STT_NS_M0298_0312_3360819_to_3363547.wav,ག་ྱས་ལབ་ན་གཞན་པ་ད་ང་བོད་པ་ཀ་ཅི་གཅིག་ཡེ་ལྟ་ཡི་མེད་ད་ཡོད་བ་ཨོ་འདི།
